,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Casablanca,33.5928,-7.6192,61.02,63,21,11.01,MA,1650406879
1,Olovyannaya,50.95,115.5667,39.4,46,100,16.55,RU,1650406879
2,Lavrentiya,65.5833,-171.0,29.07,74,3,6.15,RU,1650406880
3,Ubinskoye,55.3068,79.6802,36.48,63,100,6.8,RU,1650406880
4,New Norfolk,-42.7826,147.0587,56.7,76,97,3.11,AU,1650406881
5,Arraial do Cabo,-22.9661,-42.0278,73.26,78,0,2.3,BR,1650406881
6,Mookane,-23.688,26.6595,62.83,70,78,6.51,BW,1650406881
7,Barrow,71.2906,-156.7887,10.42,79,0,12.66,US,1650406882
8,Batemans Bay,-35.7167,150.1833,63.1,89,92,1.52,AU,1650406882
9,Alhadas,40.1861,-8.7906,54.12,70,7,24.2,PT,1650406883
10,Alice Springs,-23.7,133.8833,49.55,62,6,0.0,AU,1650406812
11,Busselton,-33.65,115.3333,53.53,87,0,10.22,AU,1650406585
12,College,64.8569,-147.8028,45.09,28,0,13.8,US,1650406884
13,Ābdānān,32.9926,47.4198,70.21,20,100,1.54,IR,1650406884
14,Kapaa,22.0752,-159.319,78.78,72,40,20.71,US,1650406885
15,Cape Town,-33.9258,18.4232,70.12,60,0,4.0,ZA,1650406885
16,Rikitea,-23.1203,-134.9692,77.7,75,55,17.0,PF,1650406886
17,Los Llanos de Aridane,28.6585,-17.9182,60.55,78,100,19.57,ES,1650406735
18,Saint Paul Harbor,57.79,-152.4072,40.51,75,100,14.97,US,1650406886
19,Castro,-24.7911,-50.0119,59.41,83,0,3.11,BR,1650406886
20,Codrington,-38.2667,141.9667,54.37,93,65,6.53,AU,1650406737
21,Bluff,-46.6,168.3333,56.8,79,100,8.79,NZ,1650406887
22,Hobart,-42.8794,147.3294,57.06,82,20,9.22,AU,1650406708
23,Punta Arenas,-53.15,-70.9167,46.51,66,0,11.5,CL,1650406887
24,Ikirun,7.9167,4.6667,75.18,89,100,4.29,NG,1650406888
25,Rocha,-34.4833,-54.3333,66.33,77,78,10.2,UY,1650406888
26,Fairbanks,64.8378,-147.7164,45.09,28,0,13.8,US,1650406888
27,Saint George,37.1041,-113.5841,88.39,6,0,29.93,US,1650406889
28,Butaritari,3.0707,172.7902,81.57,75,70,17.07,KI,1650406889
29,Faanui,-16.4833,-151.75,81.43,68,3,5.99,PF,1650406776
30,Ponta do Sol,32.6667,-17.1,61.72,62,9,12.33,PT,1650406889
31,Lebu,-37.6167,-73.65,54.59,94,100,0.43,CL,1650406890
32,Mataura,-46.1927,168.8643,55.47,69,100,3.42,NZ,1650406783
33,Vallenar,-28.5708,-70.7581,69.12,39,2,7.11,CL,1650406890
34,Albany,42.6001,-73.9662,42.58,65,58,1.01,US,1650406890
35,Clyde River,70.4692,-68.5914,-9.17,77,75,5.75,CA,1650406891
36,Najrān,17.4924,44.1277,74.05,22,6,1.86,SA,1650406891
37,Mossamedes,-15.1961,12.1522,74.88,80,100,1.57,AO,1650406892
38,Kavieng,-2.5744,150.7967,83.66,70,93,12.21,PG,1650406892
39,Jamestown,42.097,-79.2353,35.71,75,100,23.02,US,1650406743
40,Cayenne,4.9333,-52.3333,76.08,1,75,4.61,GF,1650406892
41,Leningradskiy,69.3833,178.4167,23.27,84,71,5.21,RU,1650406893
42,Araouane,18.9048,-3.5265,80.4,8,1,7.4,ML,1650406893
43,Bredasdorp,-34.5322,20.0403,60.96,88,0,2.39,ZA,1650406894
44,Karpogory,64.0019,44.4451,33.55,100,100,3.96,RU,1650406894
45,Hamilton,39.1834,-84.5333,52.88,46,40,13.8,US,1650406851
46,Hermanus,-34.4187,19.2345,65.8,71,3,10.07,ZA,1650406782
47,Te Anau,-45.4167,167.7167,55.56,71,100,2.44,NZ,1650406954
48,Cherskiy,68.75,161.3,26.26,82,14,8.66,RU,1650406955
49,Hay River,60.8156,-115.7999,26.58,43,20,11.5,CA,1650406955
50,Ushuaia,-54.8,-68.3,47.86,66,40,10.36,AR,1650406955
51,Aloleng,16.1307,119.7824,80.01,72,10,6.06,PH,1650406956
52,Airai,-8.9266,125.4092,58.95,72,37,2.42,TL,1650406921
53,Viedma,-40.8135,-62.9967,67.64,25,75,8.21,AR,1650406956
54,Vanavara,60.34,102.2797,24.58,95,100,6.69,RU,1650406956
55,Brae,60.3964,-1.353,45.16,87,3,4.45,GB,1650406957
56,Bitung,1.4451,125.1824,77.85,82,93,2.24,ID,1650406957
57,Honningsvåg,70.9821,25.9704,35.35,93,98,6.91,NO,1650406957
58,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,70.09,62,0,7.52,AR,1650406958
59,Souillac,-20.5167,57.5167,79.18,94,40,6.91,MU,1650406669
60,Saint-Philippe,-21.3585,55.7679,78.39,81,47,4.65,RE,1650406854
61,Nouadhibou,20.931,-17.0347,67.98,77,100,17.27,MR,1650406958
62,Yar-Sale,66.8333,70.8333,27.7,92,100,8.77,RU,1650406958
63,Rujewa,-8.7,34.3833,66.9,77,94,8.03,TZ,1650406959
64,Caucayá,-0.1934,-74.7819,73.29,95,100,1.23,CO,1650406959
65,Pisco,-13.7,-76.2167,69.85,73,0,17.27,PE,1650406959
66,Hithadhoo,-0.6,73.0833,83.08,70,100,6.02,MV,1650406960
67,Constitución,-35.3333,-72.4167,58.23,86,100,5.23,CL,1650406960
68,Kemijärvi,66.7131,27.4306,38.34,96,8,2.55,FI,1650406960
69,Port Alfred,-33.5906,26.891,67.17,89,76,1.99,ZA,1650406961
70,Mikun',62.3547,50.0771,32.95,99,100,4.74,RU,1650406815
71,Tasiilaq,65.6145,-37.6368,33.96,83,100,13.91,GL,1650406926
72,Malko Tarnovo,41.9833,27.5333,34.02,97,22,4.56,BG,1650406961
73,Yellowknife,62.456,-114.3525,30.72,31,20,9.22,CA,1650406961
74,Cidreira,-30.1811,-50.2056,68.14,82,0,9.73,BR,1650406736
75,Elko,41.0002,-115.5012,44.62,72,100,7.0,US,1650406693
76,Alyangula,-13.8483,136.4192,80.87,79,53,12.15,AU,1650406962
77,Ozernovskiy,51.5,156.5167,30.27,80,82,9.53,RU,1650406962
78,Langxiang,46.95,128.8833,54.19,38,47,6.51,CN,1650406963
79,Kruisfontein,-34.0033,24.7314,62.89,94,2,6.38,ZA,1650406963
80,Puerto Ayora,-0.7393,-90.3518,78.76,84,85,8.7,EC,1650406668
81,Iskateley,67.6803,53.1512,20.19,87,88,13.56,RU,1650406963
82,São Luiz Gonzaga,-28.4083,-54.9608,65.91,73,0,6.22,BR,1650406964
83,Talnakh,69.4865,88.3972,-4.86,99,97,1.41,RU,1650406964
84,Amsterdam,52.374,4.8897,53.89,68,0,13.8,NL,1650406964
85,Tateyama,34.9833,139.8667,55.33,82,75,3.44,JP,1650406965
86,Carutapera,-1.195,-46.02,77.54,86,74,4.5,BR,1650406965
87,Hīrna,9.2167,41.1,66.34,55,65,6.24,ET,1650406965
88,Taoudenni,22.6783,-3.9836,84.6,9,81,5.93,ML,1650406966
89,Algiers,36.7525,3.042,60.62,72,40,4.61,DZ,1650406966
90,Hilo,19.7297,-155.09,84.27,65,40,11.5,US,1650406969
91,‘Ewa Beach,21.3156,-158.0072,80.55,62,40,18.41,US,1650406876
92,Dunedin,-45.8742,170.5036,57.79,76,99,5.01,NZ,1650406764
93,Boende,-0.2167,20.8667,72.03,97,99,0.92,CD,1650407027
94,Hasaki,35.7333,140.8333,52.29,61,94,11.61,JP,1650407027
95,Ostrovnoy,68.0531,39.5131,30.9,79,100,8.28,RU,1650406869
96,Vilhena,-12.7406,-60.1458,80.82,65,0,4.61,BR,1650406833
97,Chokurdakh,70.6333,147.9167,14.34,93,93,5.17,RU,1650406975
98,Vaini,-21.2,-175.2,77.16,94,75,10.36,TO,1650406980
99,Kumul,42.8,93.45,61.59,15,100,5.73,CN,1650407031
100,San Patricio,28.017,-97.5169,76.89,75,100,23.22,US,1650407031
101,Okhotsk,59.3833,143.3,26.8,92,100,22.24,RU,1650406885
102,Deloraine,-41.5333,146.6667,54.36,15,80,2.64,AU,1650407032
103,São João da Barra,-21.6403,-41.0511,74.03,79,37,8.86,BR,1650407032
104,Nanortalik,60.1432,-45.2371,26.85,57,2,30.47,GL,1650407032
105,Coyhaique,-45.5752,-72.0662,47.01,71,40,3.44,CL,1650407033
106,Nago,26.5881,127.9761,67.05,74,99,4.72,JP,1650407033
107,Kysyl-Syr,63.8986,122.7617,19.36,95,100,7.18,RU,1650407033
108,Ihosy,-22.4,46.1167,68.9,93,85,4.76,MG,1650407034
109,Havre-St-Pierre,50.2334,-63.5986,32.36,74,100,23.02,CA,1650407034
110,Qaanaaq,77.484,-69.3632,-2.63,79,99,5.7,GL,1650407034
111,Manama,26.2154,50.5832,75.18,66,0,4.61,BH,1650407035
112,Lagoa,39.05,-27.9833,59.31,72,94,10.04,PT,1650407035
113,Treinta y Tres,-33.2333,-54.3833,65.93,64,12,7.72,UY,1650407035
114,Lüderitz,-26.6481,15.1594,74.61,37,0,4.65,NA,1650407036
115,Richards Bay,-28.783,32.0377,63.54,83,0,2.8,ZA,1650407036
116,Kathmandu,27.7167,85.3167,62.82,82,20,3.44,NP,1650407036
117,Bengkulu,-3.8004,102.2655,76.42,89,100,5.64,ID,1650407037
118,Torbay,47.6666,-52.7314,32.29,80,75,11.5,CA,1650407037
119,Ilulissat,69.2167,-51.1,5.02,72,20,12.66,GL,1650407037
120,George Town,5.4112,100.3354,78.73,93,20,3.44,MY,1650407038
121,Zhangaözen,43.3,52.8,63.37,38,11,11.81,KZ,1650407038
122,Avera,33.194,-82.5271,66.54,38,0,8.3,US,1650407038
123,La Providencia,28.7167,-111.5833,95.65,28,77,14.58,MX,1650407038
124,Morogoro,-6.8167,37.6667,68.81,88,98,1.28,TZ,1650407039
125,Natitingou,10.3042,1.3796,83.84,39,96,3.56,BJ,1650407039
126,Malanje,-9.5402,16.341,66.16,95,100,3.15,AO,1650407040
127,Coquimbo,-29.9533,-71.3436,60.53,63,0,11.5,CL,1650407040
128,Disna,55.568,28.1971,44.83,71,84,12.82,BY,1650407040
129,Hualmay,-11.0964,-77.6139,70.07,77,61,10.42,PE,1650407041
130,Sibolga,1.7427,98.7792,75.9,89,100,2.48,ID,1650407041
131,Yangi Marg`ilon,40.4272,71.7189,63.32,77,40,4.61,UZ,1650407041
132,Klaksvík,62.2266,-6.589,45.52,78,7,12.1,FO,1650406973
133,Atuona,-9.8,-139.0333,79.43,72,37,18.77,PF,1650407042
134,Kaitangata,-46.2817,169.8464,57.81,63,99,2.89,NZ,1650407042
135,Benguela,-12.5763,13.4055,75.97,94,100,3.98,AO,1650407042
136,Port Lincoln,-34.7333,135.8667,60.73,83,34,8.08,AU,1650407043
137,Khatanga,71.9667,102.5,-10.88,100,98,4.12,RU,1650406930
138,Broken Hill,-31.95,141.4333,51.51,76,0,1.14,AU,1650407104
139,Araranguá,-28.9347,-49.4858,64.24,85,0,2.53,BR,1650407104
140,Srednekolymsk,67.45,153.6833,25.39,79,17,5.57,RU,1650407104
141,Khovd,48.0056,91.6419,32.67,76,100,14.09,MN,1650407105
142,Port Hedland,-20.3167,118.5667,77.05,44,10,8.05,AU,1650407050
143,Solok,-0.7918,100.6593,71.19,99,100,0.78,ID,1650407105
144,White Rock,49.0164,-122.8026,54.0,68,62,8.99,CA,1650407105
145,Tuatapere,-46.1333,167.6833,57.79,69,100,5.86,NZ,1650406684
146,Bethel,41.3712,-73.414,49.01,53,100,13.8,US,1650407106
147,Saldanha,-33.0117,17.9442,69.37,37,27,8.55,ZA,1650407052
148,Sobolevo,54.4299,31.8996,47.17,85,100,17.81,RU,1650407106
149,Dingle,10.9995,122.6711,75.51,90,46,6.87,PH,1650407106
150,Eugene,44.0521,-123.0867,49.75,81,75,9.22,US,1650407105
151,Thompson,55.7435,-97.8558,30.36,69,75,6.91,CA,1650407037
152,Katsuura,35.1333,140.3,55.42,78,98,13.51,JP,1650407107
153,Provideniya,64.3833,-173.3,33.91,69,0,11.18,RU,1650407059
154,Poli,-3.3333,36.8,62.06,87,97,5.35,TZ,1650407107
155,Grand Gaube,-20.0064,57.6608,79.38,87,100,1.99,MU,1650407108
156,Smithers,54.7804,-127.1743,43.12,49,75,8.05,CA,1650407108
157,East London,-33.0153,27.9116,68.13,83,70,9.42,ZA,1650407108
158,Turan,16.0678,108.2208,73.38,78,75,3.44,VN,1650407109
159,Bandarbeyla,9.4942,50.8122,80.51,73,6,7.47,SO,1650407073
160,Saint Anthony,45.0205,-93.218,47.98,38,75,9.22,US,1650407109
161,Cockburn Town,21.4612,-71.1419,79.29,77,42,6.6,TC,1650407060
162,Tiksi,71.6872,128.8694,1.47,100,100,4.85,RU,1650407110
163,Puerto Carreño,6.189,-67.4859,89.58,58,75,2.3,CO,1650407110
164,Porbandar,21.6422,69.6093,79.66,81,30,13.89,IN,1650407110
165,Neiafu,-18.65,-173.9833,84.88,84,75,9.22,TO,1650407111
166,Zhezkazgan,47.8043,67.7144,49.89,51,37,9.37,KZ,1650407111
167,Bulawayo,-20.15,28.5833,54.41,88,21,13.02,ZW,1650407111
168,Turukhansk,65.8167,87.9833,1.85,98,100,4.0,RU,1650407112
169,Bathsheba,13.2167,-59.5167,79.41,73,20,20.71,BB,1650407112
170,Bissau,11.8636,-15.5977,77.11,69,10,4.61,GW,1650407112
171,Carnduff,49.1667,-101.8009,30.38,85,100,18.37,CA,1650407113
172,Ust-Tsilma,65.441,52.1498,33.85,98,100,8.3,RU,1650407113
173,Aklavik,68.2191,-135.0107,28.4,40,0,8.05,CA,1650407113
174,San Benito,36.6166,-121.0844,62.83,41,85,12.21,US,1650407114
175,Itanhaém,-24.1831,-46.7889,70.79,85,76,3.04,BR,1650407114
176,Kuna,43.4918,-116.4201,57.85,36,0,6.91,US,1650407044
177,Homer,59.6425,-151.5483,46.27,37,0,4.61,US,1650407114
178,Jaltenango,15.8719,-92.7247,96.3,20,7,9.86,MX,1650407115
179,Severo-Kuril'sk,50.6789,156.125,31.41,76,35,14.56,RU,1650407115
180,Juneau,58.3019,-134.4197,48.85,39,75,13.8,US,1650407115
181,Whitehorse,60.7161,-135.0538,37.02,40,75,8.05,CA,1650407027
182,Bara,10.3744,10.7288,84.83,45,68,4.76,NG,1650407116
183,Ribeira Grande,38.5167,-28.7,61.3,71,39,9.19,PT,1650407116
184,Punta Cardon,11.6581,-70.215,81.34,76,92,15.95,VE,1650407116
185,Kungurtug,50.5994,97.5228,28.54,86,100,6.08,RU,1650407117
186,Pascagoula,30.3658,-88.5561,74.41,38,0,6.91,US,1650407177
187,Purpe,64.4803,76.6897,24.82,97,100,8.79,RU,1650407177
188,Ayan,56.45,138.1667,30.11,93,99,14.0,RU,1650407178
189,Zhirnov,48.1709,41.1261,56.86,93,100,5.73,RU,1650407178
190,Mana,5.6592,-53.7767,77.61,89,100,9.8,GF,1650407178
